"","Signal_ID","Signal_PMU_ID","Signal_Index","Signal_Name_Raw","Signal_Name_Short","Signal_Name_Group","Signal_Name_Long","Signal_Type","Signal_Asset","Signal_Voltage","Signal_Circuit","Signal_Unit","Signal_Phase"
16,"<34016-A-03>",0x84e0,"3","A500KEEBLER__1MW","KEEBLER","500KEEBLER__1","Keebler","Analog","Analog",500,"1","Power-Real",""
17,"<34016-A-04>",0x84e0,"4","A500KEEBLER__1MV","KEEBLER","500KEEBLER__1","Keebler","Analog","Analog",500,"1","Power-Reactive",""
18,"<34016-A-05>",0x84e0,"5","A500PAULTON__2MW","PAULTON","500PAULTON__2","Paulton","Analog","Analog",500,"2","Power-Real",""
19,"<34016-A-06>",0x84e0,"6","A500PAULTON__2MV","PAULTON","500PAULTON__2","Paulton","Analog","Analog",500,"2","Power-Reactive",""
20,"<34016-A-07>",0x84e0,"7","A500BANK1____1MW","BANK1","500BANK1____1","Transformer Bank #1","Analog","Analog",500,"1","Power-Real",""
21,"<34016-A-08>",0x84e0,"8","A500BANK1____1MV","BANK1","500BANK1____1","Transformer Bank #1","Analog","Analog",500,"1","Power-Reactive",""
22,"<34016-A-09>",0x84e0,"9","A500BANK2____1MW","BANK2","500BANK2____1","Transformer Bank #2","Analog","Analog",500,"1","Power-Real",""
23,"<34016-A-10>",0x84e0,"10","A500BANK2____1MV","BANK2","500BANK2____1","Transformer Bank #2","Analog","Analog",500,"1","Power-Reactive",""
24,"<34016-F-01>",0x84e0,"1","A500FREQ_____1F_","FREQ","500FREQ_____1","Frequency","Frequency","Analog",500,"1","Frequency",""
25,"<34016-F-02>",0x84e0,"2","A500FREQ_____1R_","FREQ","500FREQ_____1","Frequency","Frequency","Analog",500,"1","ROCOF",""
26,"<34090-P-01>",0x852a,"1","B500NORTH____1VP","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Pos. Seq"
27,"<34090-P-02>",0x852a,"2","B500NORTH____1VA","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Phase A"
28,"<34090-P-03>",0x852a,"3","B500NORTH____1VB","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Phase B"
29,"<34090-P-04>",0x852a,"4","B500NORTH____1VC","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Phase C"
30,"<34090-P-05>",0x852a,"5","B500SOUTH____1VP","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Pos. Seq"
31,"<34090-P-06>",0x852a,"6","B500SOUTH____1VA","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Phase A"
32,"<34090-P-07>",0x852a,"7","B500SOUTH____1VB","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Phase B"
33,"<34090-P-08>",0x852a,"8","B500SOUTH____1VC","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Phase C"
34,"<34090-P-09>",0x852a,"9","L500MARSLLE__1IP","MARSLLE","500MARSLLE__1","Marseille","Phasor","Line",500,"1","Current","Pos. Seq"
35,"<34090-P-10>",0x852a,"10","L500CGS______1IP","CGS","500CGS______1","CGS","Phasor","Line",500,"1","Current","Pos. Seq"
36,"<34090-P-11>",0x852a,"11","L500SLAWNO___1IP","SLAWNO","500SLAWNO___1","Slawno","Phasor","Line",500,"1","Current","Pos. Seq"
37,"<34090-P-12>",0x852a,"12","R500G1_______1IP","G1","500G1_______1","Capacitor Group #1","Phasor","Reactor",500,"1","Current","Pos. Seq"
38,"<34090-P-13>",0x852a,"13","L500HANOVER__1IP","HANOVER","500HANOVER__1","Hanover","Phasor","Line",500,"1","Current","Pos. Seq"
39,"<34090-P-14>",0x852a,"14","L500LOWLL____1IP","LOWLL","500LOWLL____1","Lowell","Phasor","Line",500,"1","Current","Pos. Seq"
40,"<34090-A-01>",0x852a,"1","A500MARSLLE__1MW","MARSLLE","500MARSLLE__1","Marseille","Analog","Analog",500,"1","Power-Real",""
41,"<34090-A-02>",0x852a,"2","A500MARSLLE__1MV","MARSLLE","500MARSLLE__1","Marseille","Analog","Analog",500,"1","Power-Reactive",""
42,"<34090-A-03>",0x852a,"3","A500CGS______1MW","CGS","500CGS______1","CGS","Analog","Analog",500,"1","Power-Real",""
43,"<34090-A-04>",0x852a,"4","A500CGS______1MV","CGS","500CGS______1","CGS","Analog","Analog",500,"1","Power-Reactive",""
44,"<34090-A-05>",0x852a,"5","A500SLAWNO___1MW","SLAWNO","500SLAWNO___1","Slawno","Analog","Analog",500,"1","Power-Real",""
45,"<34090-A-06>",0x852a,"6","A500SLAWNO___1MV","SLAWNO","500SLAWNO___1","Slawno","Analog","Analog",500,"1","Power-Reactive",""
46,"<34090-A-07>",0x852a,"7","A500REACG1___1MW","REACG1","500REACG1___1","Reactor Bank #1","Analog","Analog",500,"1","Power-Real",""
47,"<34090-A-08>",0x852a,"8","A500REACG1___1MV","REACG1","500REACG1___1","Reactor Bank #1","Analog","Analog",500,"1","Power-Reactive",""
48,"<34090-A-09>",0x852a,"9","A500HANOVER__1MW","HANOVER","500HANOVER__1","Hanover","Analog","Analog",500,"1","Power-Real",""
49,"<34090-A-10>",0x852a,"10","A500HANOVER__1MV","HANOVER","500HANOVER__1","Hanover","Analog","Analog",500,"1","Power-Reactive",""
50,"<34090-A-11>",0x852a,"11","A500LOWLL____1MW","LOWLL","500LOWLL____1","Lowell","Analog","Analog",500,"1","Power-Real",""
51,"<34090-A-12>",0x852a,"12","A500LOWLL____1MV","LOWLL","500LOWLL____1","Lowell","Analog","Analog",500,"1","Power-Reactive",""
52,"<34090-F-01>",0x852a,"1","A500FREQ_____1F_","FREQ","500FREQ_____1","Frequency","Frequency","Analog",500,"1","Frequency",""
53,"<34090-F-02>",0x852a,"2","A500FREQ_____1R_","FREQ","500FREQ_____1","Frequency","Frequency","Analog",500,"1","ROCOF",""
54,"<34056-P-01>",0x8508,"1","B230SECT1____1VP","SECT1","230SECT1____1","Section #1","Phasor","Bus",230,"1","Voltage","Pos. Seq"
55,"<34056-P-02>",0x8508,"2","B230SECT1____1VA","SECT1","230SECT1____1","Section #1","Phasor","Bus",230,"1","Voltage","Phase A"
56,"<34056-P-03>",0x8508,"3","B230SECT1____1VB","SECT1","230SECT1____1","Section #1","Phasor","Bus",230,"1","Voltage","Phase B"
57,"<34056-P-04>",0x8508,"4","B230SECT1____1VC","SECT1","230SECT1____1","Section #1","Phasor","Bus",230,"1","Voltage","Phase C"
58,"<34056-P-05>",0x8508,"5","B230SECT4____1VP","SECT4","230SECT4____1","Section #4","Phasor","Bus",230,"1","Voltage","Pos. Seq"
59,"<34056-P-06>",0x8508,"6","B230SECT4____1VA","SECT4","230SECT4____1","Section #4","Phasor","Bus",230,"1","Voltage","Phase A"
60,"<34056-P-07>",0x8508,"7","B230SECT4____1VB","SECT4","230SECT4____1","Section #4","Phasor","Bus",230,"1","Voltage","Phase B"
61,"<34056-P-08>",0x8508,"8","B230SECT4____1VC","SECT4","230SECT4____1","Section #4","Phasor","Bus",230,"1","Voltage","Phase C"
62,"<34056-P-09>",0x8508,"9","L230WESTSD___1IP","WESTSD","230WESTSD___1","Westside","Phasor","Line",230,"1","Current","Pos. Seq"
63,"<34056-P-10>",0x8508,"10","L230BUS TIE__1IP","BUS TIE","230BUS TIE__1","Bus Tie","Phasor","Line",230,"1","Current","Pos. Seq"
64,"<34056-P-11>",0x8508,"11","L230BOUNDARY_1IP","BOUNDARY","230BOUNDARY_1","Boundary","Phasor","Line",230,"1","Current","Pos. Seq"
65,"<34056-A-01>",0x8508,"1","A230WESTSD___1MW","WESTSD","230WESTSD___1","Westside","Analog","Analog",230,"1","Power-Real",""
66,"<34056-A-02>",0x8508,"2","A230WESTSD___1MV","WESTSD","230WESTSD___1","Westside","Analog","Analog",230,"1","Power-Reactive",""
67,"<34056-A-03>",0x8508,"3","A230BUS TIE__1MW","BUS TIE","230BUS TIE__1","Bus Tie","Analog","Analog",230,"1","Power-Real",""
68,"<34056-A-04>",0x8508,"4","A230BUS TIE__1MV","BUS TIE","230BUS TIE__1","Bus Tie","Analog","Analog",230,"1","Power-Reactive",""
69,"<34056-A-05>",0x8508,"5","A230BOUNDARY_1MW","BOUNDARY","230BOUNDARY_1","Boundary","Analog","Analog",230,"1","Power-Real",""
70,"<34056-A-06>",0x8508,"6","A230BOUNDARY_1MV","BOUNDARY","230BOUNDARY_1","Boundary","Analog","Analog",230,"1","Power-Reactive",""
71,"<34056-F-01>",0x8508,"1","A230FREQ_____1F_","FREQ","230FREQ_____1","Frequency","Frequency","Analog",230,"1","Frequency",""
72,"<34056-F-02>",0x8508,"2","A230FREQ_____1R_","FREQ","230FREQ_____1","Frequency","Frequency","Analog",230,"1","ROCOF",""
73,"<34513-P-01>",0x86d1,"1","B230SECT2____1VP","SECT2","230SECT2____1","Section #2","Phasor","Bus",230,"1","Voltage","Pos. Seq"
74,"<34513-P-02>",0x86d1,"2","B230SECT2____1VA","SECT2","230SECT2____1","Section #2","Phasor","Bus",230,"1","Voltage","Phase A"
75,"<34513-P-03>",0x86d1,"3","B230SECT2____1VB","SECT2","230SECT2____1","Section #2","Phasor","Bus",230,"1","Voltage","Phase B"
76,"<34513-P-04>",0x86d1,"4","B230SECT2____1VC","SECT2","230SECT2____1","Section #2","Phasor","Bus",230,"1","Voltage","Phase C"
77,"<34513-P-05>",0x86d1,"5","B230SECT3____1VP","SECT3","230SECT3____1","Section #3","Phasor","Bus",230,"1","Voltage","Pos. Seq"
78,"<34513-P-06>",0x86d1,"6","B230SECT3____1VA","SECT3","230SECT3____1","Section #3","Phasor","Bus",230,"1","Voltage","Phase A"
79,"<34513-P-07>",0x86d1,"7","B230SECT3____1VB","SECT3","230SECT3____1","Section #3","Phasor","Bus",230,"1","Voltage","Phase B"
80,"<34513-P-08>",0x86d1,"8","B230SECT3____1VC","SECT3","230SECT3____1","Section #3","Phasor","Bus",230,"1","Voltage","Phase C"
81,"<34513-P-09>",0x86d1,"9","L230BUS TIE__2IP","BUS TIE","230BUS TIE__2","Bus Tie","Phasor","Line",230,"2","Current","Pos. Seq"
82,"<34513-P-10>",0x86d1,"10","L230USK______1IP","USK","230USK______1","USK","Phasor","Line",230,"1","Current","Pos. Seq"
83,"<34513-P-11>",0x86d1,"11","T230BANK6____1IP","BANK6","230BANK6____1","Transformer Bank #6","Phasor","Transformer",230,"1","Current","Pos. Seq"
84,"<34513-P-12>",0x86d1,"12","L230BUS TIE__3IP","BUS TIE","230BUS TIE__3","Bus Tie","Phasor","Line",230,"3","Current","Pos. Seq"
85,"<34513-P-13>",0x86d1,"13","L230LANGHGN__1IP","LANGHGN","230LANGHGN__1","Langenhagen","Phasor","Line",230,"1","Current","Pos. Seq"
86,"<34513-P-14>",0x86d1,"14","L230BOUNDARY_3IP","BOUNDARY","230BOUNDARY_3","Boundary","Phasor","Line",230,"3","Current","Pos. Seq"
87,"<34513-A-01>",0x86d1,"1","A230BUS TIE__2MW","BUS TIE","230BUS TIE__2","Bus Tie","Analog","Analog",230,"2","Power-Real",""
88,"<34513-A-02>",0x86d1,"2","A230BUS TIE__2MV","BUS TIE","230BUS TIE__2","Bus Tie","Analog","Analog",230,"2","Power-Reactive",""
89,"<34513-A-03>",0x86d1,"3","A230USK______1MW","USK","230USK______1","USK","Analog","Analog",230,"1","Power-Real",""
90,"<34513-A-04>",0x86d1,"4","A230USK______1MV","USK","230USK______1","USK","Analog","Analog",230,"1","Power-Reactive",""
91,"<34513-A-05>",0x86d1,"5","A230BANK6____1MW","BANK6","230BANK6____1","Transformer Bank #6","Analog","Analog",230,"1","Power-Real",""
92,"<34513-A-06>",0x86d1,"6","A230BANK6____1MV","BANK6","230BANK6____1","Transformer Bank #6","Analog","Analog",230,"1","Power-Reactive",""
93,"<34513-A-07>",0x86d1,"7","A230BUS TIE__3MW","BUS TIE","230BUS TIE__3","Bus Tie","Analog","Analog",230,"3","Power-Real",""
94,"<34513-A-08>",0x86d1,"8","A230BUS TIE__3MV","BUS TIE","230BUS TIE__3","Bus Tie","Analog","Analog",230,"3","Power-Reactive",""
95,"<34513-A-09>",0x86d1,"9","A230LANGHGN__1MW","LANGHGN","230LANGHGN__1","Langenhagen","Analog","Analog",230,"1","Power-Real",""
96,"<34513-A-10>",0x86d1,"10","A230LANGHGN__1MV","LANGHGN","230LANGHGN__1","Langenhagen","Analog","Analog",230,"1","Power-Reactive",""
97,"<34513-A-11>",0x86d1,"11","A230BOUNDARY_3MW","BOUNDARY","230BOUNDARY_3","Boundary","Analog","Analog",230,"3","Power-Real",""
98,"<34513-A-12>",0x86d1,"12","A230BOUNDARY_3MV","BOUNDARY","230BOUNDARY_3","Boundary","Analog","Analog",230,"3","Power-Reactive",""
99,"<34513-F-01>",0x86d1,"1","A230FREQ_____1F_","FREQ","230FREQ_____1","Frequency","Frequency","Analog",230,"1","Frequency",""
100,"<34513-F-02>",0x86d1,"2","A230FREQ_____1R_","FREQ","230FREQ_____1","Frequency","Frequency","Analog",230,"1","ROCOF",""
101,"<34028-P-01>",0x84ec,"1","B500WEST_____1VP","WEST","500WEST_____1","W","Phasor","Bus",500,"1","Voltage","Pos. Seq"
102,"<34028-P-02>",0x84ec,"2","B500WEST_____1VA","WEST","500WEST_____1","W","Phasor","Bus",500,"1","Voltage","Phase A"
103,"<34028-P-03>",0x84ec,"3","B500WEST_____1VB","WEST","500WEST_____1","W","Phasor","Bus",500,"1","Voltage","Phase B"
104,"<34028-P-04>",0x84ec,"4","B500WEST_____1VC","WEST","500WEST_____1","W","Phasor","Bus",500,"1","Voltage","Phase C"
105,"<34028-P-05>",0x84ec,"5","B500EAST_____1VP","EAST","500EAST_____1","E","Phasor","Bus",500,"1","Voltage","Pos. Seq"
106,"<34028-P-06>",0x84ec,"6","B500EAST_____1VA","EAST","500EAST_____1","E","Phasor","Bus",500,"1","Voltage","Phase A"
107,"<34028-P-07>",0x84ec,"7","B500EAST_____1VB","EAST","500EAST_____1","E","Phasor","Bus",500,"1","Voltage","Phase B"
108,"<34028-P-08>",0x84ec,"8","B500EAST_____1VC","EAST","500EAST_____1","E","Phasor","Bus",500,"1","Voltage","Phase C"
109,"<34028-P-09>",0x84ec,"9","L500CELLE____1IP","CELLE","500CELLE____1","Celle","Phasor","Line",500,"1","Current","Pos. Seq"
110,"<34028-P-10>",0x84ec,"10","L500OSTRODA__1IP","OSTRODA","500OSTRODA__1","Ostroda","Phasor","Line",500,"1","Current","Pos. Seq"
111,"<34028-P-11>",0x84ec,"11","L500CELLE____2IP","CELLE","500CELLE____2","Celle","Phasor","Line",500,"2","Current","Pos. Seq"
112,"<34028-A-01>",0x84ec,"1","A500CELLE____1MW","CELLE","500CELLE____1","Celle","Analog","Analog",500,"1","Power-Real",""
113,"<34028-A-02>",0x84ec,"2","A500CELLE____1MV","CELLE","500CELLE____1","Celle","Analog","Analog",500,"1","Power-Reactive",""
114,"<34028-A-03>",0x84ec,"3","A500OSTRODA__1MW","OSTRODA","500OSTRODA__1","Ostroda","Analog","Analog",500,"1","Power-Real",""
